Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio,Title,Artist,BPM_manual
Unfamiliar Groovy,Disco House,https://open.spotify.com/intl-de/track/4tTpmg8AGcChIUnuio4CtR?si=dbb69bfd9c8847bc,0.0,122.00684020693676,0.0,1.0,0.16346532,0.154811,0.0,12762.346435275917,3873.1395347424886,0.2758213046705768,0.5010548610573308,58.348294434470375,At Night - Purple Disco Machine Remix,Shakedown,122.0
Unfamiliar Groovy,Disco House,https://open.spotify.com/intl-de/track/0qJDy1QsmmnZt343XTzxQd?si=2b8f2dad889d4926,0.0,128.14031862745097,0.0,1.0,0.15947749,0.14784585,0.0,9158.232887421933,3642.473511965154,0.1767151219791985,1.0,77.4703557312253,Can't Get Enough! - Vocal Club Mix,Soulsearcher,128.1
Unfamiliar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/7A0xA68c4NiTvbWWAsIsoN?si=896b1ce666494b64,0.0,127.4744715155858,4.2716433e-08,1.0,0.20735453,0.16044775,142.41848336594143,8474.724763621205,2862.006991491919,0.7267204103046702,0.67986369980182,71.35678391959799,Tears In Ibiza (feat. AR/CO),The Stickmen Project,127.6
Unfamiliar Groovy,Disco House,https://open.spotify.com/intl-de/track/0WAWTDInnoz4ooHqOEHu16?si=c6eea1501a5745c6,0.0,125.9992380998452,3.6871248e-09,1.0,0.20301284,0.2079284,127.26159183235424,10070.23983600566,4069.4905946921954,0.2451391900247141,1.0,74.35424354243543,Feelin' Love (Soulsearcher Club Mix) - Mixed,Soulsearcher,126.0
Familiar Classic,Contemporary Classical,https://open.spotify.com/intl-de/track/4BMHp3DkI8VLsuB9Kr0pzu?si=af9544af6c7c44b1,0.0,142.21267972594808,0.0,1.0,0.13923953,0.07916536,0.0,11098.76320061778,817.8730692152934,0.6357278108808694,1.0,100.0,Primavera,Ludovico Einaudi,142.4
Familiar Classic,Contemporary Piano,https://open.spotify.com/intl-de/track/61iGwqhbDwkXanVo5LwJyF?si=a9b70d0132cf481d,0.0,170.5218421500876,3.0009066e-12,1.0,0.20892443,0.13633308,273.8145938517005,11179.315433702855,413.2606283965486,0.8005649606086896,0.8146477058804741,70.58823529411765,I Wanted to Leave,SYML,85.0
Familiar Classic,Contemporary Classical,https://open.spotify.com/intl-de/track/1BncfTJAWxrsxyT9culBrj?si=da137d60d9f8470e,0.0,92.64677520082289,4.1256194e-06,1.0,0.12424778,0.115200035,388.58393645741694,12238.260921775627,848.883650727818,1.1166356824269066,0.4292768827419232,40.2555910543131,Experience,Ludovico Einaudi,92.6
Familiar Classic,Chamber Music,https://open.spotify.com/intl-de/track/16WL3s4JszXh14ORSeGNAE?si=1d439a472d5a4972,0.0,138.84411530968006,0.0,1.0,0.15568298,0.10786268,0.0,5514.538404961022,1371.1027325069945,1.099963254210486,1.0,100.0,Pachelbel: Canon and Gigue in D Major: Canon,Johann Pachelbel,60.0
Familiar Classic,Classical,https://open.spotify.com/intl-de/track/1DyscN2uN3bCn91g8P9oeG?si=bf3db7eb04944340,0.0,199.8322241225461,0.0,1.0,0.11872731,0.10104458,0.0,7401.128924781231,696.270605452755,0.6684610407822928,1.0,100.0,"Comptine d'un autre été, l'après-midi",Yann Tiersen,100.0
Familiar Classic,Waltz,https://open.spotify.com/intl-de/track/39uLYYZytVUwcjgeYLI409?si=9970eb66108346c3,0.0,162.19377872017992,1.8131709e-12,1.0,0.20673935,0.13336293,134.46600907567006,8285.509957781762,1154.2547588064024,1.0370122890439455,0.568612196954756,61.06870229007634,Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,161.9
