,Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio
USA for Africa - We are the world.mp3,Familiar Sad,Pop,https://open.spotify.com/intl-de/track/3Z2tPWiNiIpg8UMMoowHIk?si=146d31a0b5954849,0.0,72.48223066336553,0.0,1.0,0.33123454,0.16979341,0.0,7288.645349060106,1859.6990757920792,0.7230629684404185,0.5240502949579675,62.68041237113402
Suzanne - Leonard Cohen.mp3,Familiar Sad,Folk,https://open.spotify.com/intl-de/track/2L93TdW2GMue1H2zlkt30F?si=f88079db9b404f6a,0.0,127.54228297769156,0.0,1.0,0.24080434,0.12097004,0.0,6327.832942859619,1152.4993365182636,0.9506795032777065,0.5276743627186277,63.84039900249377
Katie Melua - Wonderful Life.mp3,Familiar Sad,Pop,https://open.spotify.com/intl-de/track/1C0bWhNWIF3yBdjNh4GlCT?si=07413f9c13a8412b,0.0,105.16215479651163,0.0,1.0,0.17899752,0.14232285,0.0,8054.242482424335,1524.6623168662647,0.43146439795991265,0.7132213393782676,64.00885935769656
Ben E. King - Stand By Me (Audio).mp3,Familiar Sad,R&B,https://open.spotify.com/intl-de/track/7jmHyHMEqm9MJWiMAneF05?si=db553d47d395493a,0.0,82.053047980469,0.0,1.0,0.13300711,0.09345204,0.0,8116.918465378239,1880.1836286925093,0.8749949830349307,0.4633187399612365,55.172413793103445
Bill Withers - Ain't No Sunshine (Official Audio).mp3,Familiar Sad,R&B,https://open.spotify.com/intl-de/track/1k1Bqnv2R0uJXQN4u6LKYt?si=2fbb52f039234d11,0.0,156.63675742574256,0.0,1.0,0.1792239,0.14031455,0.0,8582.026942927016,1991.8904714643857,0.4764916815382387,0.9975005188053278,73.51351351351352
Leonard Cohen - You Want It Darker.mp3,Familiar Sad,Folk Rock,https://open.spotify.com/intl-de/track/5zb7npjQqoJ7Kcpq4yD9qn?si=473971c3933d416e,0.0,54.50048675153334,0.0,1.0,0.1937546,0.13265464,0.0,8000.146181892373,1313.1413062036531,0.8664941517626984,1.0,100.0
Sting - Shape of My Heart.mp3,Familiar Sad,Pop,https://open.spotify.com/intl-de/track/6CKoWCWAqEVWVjpeoJXyNH?si=4d6a3745371d4222,0.0,84.32774738293197,0.0,1.0,0.1600961,0.10995383,0.0,8981.15184821015,2114.96336671793,0.7540943586635543,1.0,100.0
Waiting For Godard (Alternate).mp3,Unfamiliar Sad,Classical Music,https://open.spotify.com/intl-de/track/4qdAkMXaWSxYcC20VBn4VC?si=858eec2ee39547f5,0.0,117.79780389740337,0.0,1.0,0.16621551,0.11890971,0.0,8274.468815682787,1536.9391599821572,0.5758776726744326,0.5380668667388567,60.32745591939547
flora cash - Soul Mate (Official Audio).mp3,Unfamiliar Sad,Indie Folk,https://open.spotify.com/intl-de/track/4IOXp1xFiMh5FtSEGim4CO?si=31c76053ffb34a52,0.0,126.30039639891643,0.0,1.0,0.21832143,0.13277534,0.0,11111.234398839253,1656.2239485469227,1.0915570030011952,0.5175153760500256,60.731319554848966
outsiders.mp3,Unfamiliar Sad,Ambient,https://open.spotify.com/intl-de/track/6oDbJij4zeGPulWJ2R2BRP?si=15e7359d6da34390,0.0,34.985191453353075,2.8361967e-05,1.0,0.17832403,0.13851686,146.60834189098944,6119.512102559,625.7294039643533,1.2041993764241508,0.480322170379135,58.42894969108561
